City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,hami,42.8,93.45,60.84,16,0,2.15,CN,1713816223
309,ponta delgada,37.7333,-25.6667,63.01,84,100,5.64,PT,1713816223
310,artemovskiy,57.3555,61.8686,40.5,68,33,10.29,RU,1713816224
311,ak-suu,42.4995,78.527,50.38,46,6,5.77,KG,1713816224
312,ceara mirim,-5.6344,-35.4256,82.0,78,96,10.45,BR,1713816224
313,garachico,28.7781,-17.7646,64.65,80,41,10.31,ES,1713816224
314,bugiri,0.5714,33.7417,68.04,90,100,3.74,UG,1713816224
315,satwas,22.5333,76.6833,85.46,39,1,5.82,IN,1713816225
316,hukumati azrah,34.1736,69.6457,41.5,63,100,1.92,AF,1713816225
317,rundu,-17.9333,19.7667,67.89,26,0,6.85,NA,1713816225
318,buba,11.5833,-15.0,78.53,55,29,11.05,GW,1713816225
319,andergrove,-21.0833,149.1833,74.98,78,16,20.13,AU,1713816225
320,manta,-0.95,-80.7333,83.48,73,100,2.98,EC,1713816034
321,akureyri,65.6835,-18.0878,42.33,60,0,3.51,IS,1713816226
322,labrador city,52.9463,-66.9114,9.23,75,100,19.04,CA,1713816226
323,gromitz,54.15,10.9667,36.21,72,100,9.35,DE,1713816226
324,ilam,26.9167,87.9167,69.62,35,39,6.51,NP,1713816226
325,rawson,-43.3002,-65.1023,50.72,85,100,8.01,AR,1713816226
326,parabel',58.6978,81.4825,14.23,65,94,17.47,RU,1713816226
327,sorong,-0.8833,131.25,78.76,87,100,4.88,ID,1713816227
328,rexburg,43.826,-111.7897,54.79,31,0,11.39,US,1713815967
329,orangeburg,33.4918,-80.8557,61.36,47,98,9.22,US,1713816227
330,prado,-17.3411,-39.2208,79.65,79,0,5.84,BR,1713816227
331,dryden,49.7833,-92.7503,62.02,31,100,9.8,CA,1713816227
332,sihanoukville,10.6093,103.5296,83.62,72,100,8.63,KH,1713816227
333,ust-nera,64.5667,143.2,23.45,98,100,2.17,RU,1713816228
334,kievka,50.2619,71.5514,55.4,59,0,8.12,KZ,1713816228
335,saint george's,12.0564,-61.7485,83.82,66,80,12.15,GD,1713816228
336,timbuktu,16.7735,-3.0074,95.65,21,1,3.71,ML,1713816228
337,reggane,26.7158,0.1714,79.32,22,0,10.76,DZ,1713816228
338,baiyin,36.5583,104.2081,43.54,22,92,2.06,CN,1713816229
339,oranjemund,-28.55,16.4333,61.18,92,89,4.74,NA,1713816229
340,lorica,9.2365,-75.8135,87.21,63,96,11.25,CO,1713816229
341,freetown,8.484,-13.2299,79.92,80,100,7.31,SL,1713816014
342,cidreira,-30.1811,-50.2056,71.58,71,100,7.85,BR,1713816229
343,san ramon de la nueva oran,-23.1322,-64.326,93.36,43,33,5.03,AR,1713816230
344,celestun,20.8667,-90.4,83.05,64,6,15.59,MX,1713816230
345,saipan,15.1355,145.701,81.68,77,15,15.48,MP,1713816230
346,mancio lima,-7.6142,-72.8958,83.19,90,72,2.8,BR,1713816230
347,taro,-8.3862,115.28,68.99,100,100,1.48,ID,1713816230
348,conception bay south,47.4999,-52.9981,45.77,58,99,14.72,CA,1713816230
349,murudeshwara,14.0943,74.4845,81.28,79,0,2.15,IN,1713816231
350,dapa,9.7594,126.0531,81.61,81,98,11.3,PH,1713816231
351,treasure island,27.7692,-82.769,71.76,55,0,17.96,US,1713816231
352,puerto aysen,-45.4,-72.7,50.7,78,98,3.65,CL,1713816205
353,montepuez,-13.1256,38.9997,68.2,93,84,3.83,MZ,1713816231
354,ballina,-28.8667,153.5667,69.04,77,36,10.92,AU,1713816232
355,mariehamn,60.0973,19.9348,31.33,79,100,24.92,AX,1713816232
356,tympaki,35.0729,24.7685,69.06,38,95,17.43,GR,1713816232
357,aitape,-3.1374,142.3475,78.44,84,100,5.23,PG,1713816232
358,juye,35.3947,116.0883,64.35,70,100,10.09,CN,1713816232
359,bodaybo,57.8506,114.1933,23.34,97,47,1.74,RU,1713816232
360,vilyuchinsk,52.9306,158.4028,34.05,79,9,2.59,RU,1713816233
361,corner brook,48.9667,-57.9484,38.05,82,100,14.38,CA,1713816233
362,vengurla,15.8667,73.6333,81.95,72,0,11.18,IN,1713816233
363,thunder bay,48.4001,-89.3168,59.41,38,100,14.43,CA,1713816035
364,anna regina,7.2644,-58.5077,84.72,67,48,9.08,GY,1713816234
